Location,Student,Fac/Staff,Visitor/Meter,Reserved,Disabled,Reduced,Time,Day
West Level 4,8.0,,,,,,10:00,Wednesday
West Level 5,102.0,,,,,,10:00,Wednesday
South Village Level 1,0.0,0.0,87.0,7.0,4.0,,10:00,Wednesday
South Village Level 2,0.0,0.0,,0.0,0.0,,10:00,Wednesday
South Village Level 3,0.0,0.0,,5.0,0.0,,10:00,Wednesday
South Village Level 4,0.0,0.0,,,1.0,,10:00,Wednesday
South Village Level 5,2.0,2.0,,,1.0,,10:00,Wednesday
South Village Level 6,38.0,37.0,,,1.0,,10:00,Wednesday
East 3 Level 1,1.0,,,0.0,4.0,,10:00,Wednesday
East 3 Level 2,0.0,,,,,,10:00,Wednesday
East 3 Level 3,72.0,,,,,,10:00,Wednesday
East 3 Level 4,163.0,,,,,,10:00,Wednesday
East 3 Level 5,114.0,,,,,,10:00,Wednesday
East 2 Level 4,0.0,,,,,,10:00,Wednesday
East 2 Level 3,0.0,,,,,,10:00,Wednesday
East 2 Level 2,0.0,,,,,,10:00,Wednesday
East 2 Level 1,0.0,,,,7.0,,10:00,Wednesday
East 1 Level 1,,0.0,,7.0,3.0,,10:00,Wednesday
East 1 Level 2,,55.0,23.0,,,,10:00,Wednesday
East 1 Level 3,,113.0,48.0,,,,10:00,Wednesday
East 1 Level 4,,78.0,33.0,,,,10:00,Wednesday
North Level 6,144.0,,,,,,12:00,Wednesday
North Level 5,178.0,,,,,,12:00,Wednesday
North Level 4,146.0,,,,,,12:00,Wednesday
North Level 3,66.0,,,,,,12:00,Wednesday
North Level 2,1.0,,,,,,12:00,Wednesday
North Level 1,7.0,,,1.0,13.0,,12:00,Wednesday
Union Level 6,,17.0,16.0,1.0,0.0,,12:00,Wednesday
Union Level 5,,99.0,98.0,2.0,1.0,,12:00,Wednesday
Union Level 4,10.0,1.0,0.0,,1.0,,12:00,Wednesday
Union Level 3,77.0,,,,5.0,,12:00,Wednesday
Union Level 2,12.0,,,,4.0,,12:00,Wednesday
Union Level 1,1.0,,,0.0,2.0,,12:00,Wednesday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,12:00,Wednesday
CRI Deck 1 Level 6,67.0,68.0,67.0,,2.0,,12:00,Wednesday
CRI Deck 1 Level 5,57.0,57.0,56.0,,4.0,,12:00,Wednesday
CRI Deck 1 Level 4,31.0,32.0,31.0,,8.0,,12:00,Wednesday
CRI Deck 1 Level 3,44.0,44.0,44.0,0.0,1.0,,12:00,Wednesday
CRI Deck 1 Level 2,4.0,4.0,3.0,0.0,4.0,,12:00,Wednesday
CRI Deck 1 Level 1,38.0,38.0,37.0,,2.0,,12:00,Wednesday
West Level 2,1.0,,,,,,12:00,Wednesday
West Level 3,0.0,,,1.0,,,12:00,Wednesday
West Level 4,0.0,,,,,,12:00,Wednesday
West Level 5,26.0,,,,,,12:00,Wednesday
South Village Level 1,3.0,3.0,90.0,6.0,4.0,,12:00,Wednesday
South Village Level 2,3.0,3.0,,0.0,0.0,,12:00,Wednesday
South Village Level 3,1.0,0.0,,1.0,0.0,,12:00,Wednesday
South Village Level 4,2.0,1.0,,,1.0,,12:00,Wednesday
South Village Level 5,11.0,11.0,,,0.0,,12:00,Wednesday
South Village Level 6,34.0,33.0,,,1.0,,12:00,Wednesday
East 3 Level 1,10.0,,,0.0,4.0,,12:00,Wednesday
East 3 Level 2,11.0,,,,,,12:00,Wednesday
East 3 Level 3,18.0,,,,,,12:00,Wednesday
East 3 Level 4,115.0,,,,,,12:00,Wednesday
East 3 Level 5,103.0,,,,,,12:00,Wednesday
East 2 Level 4,11.0,,,,,,12:00,Wednesday
East 2 Level 3,6.0,,,,,,12:00,Wednesday
East 2 Level 2,0.0,,,,,,12:00,Wednesday
East 2 Level 1,0.0,,,,10.0,,12:00,Wednesday
East 1 Level 1,,7.0,,5.0,3.0,,12:00,Wednesday
East 1 Level 2,,48.0,20.0,,,,12:00,Wednesday
East 1 Level 3,,109.0,46.0,,,,12:00,Wednesday
East 1 Level 4,,78.0,33.0,,,,12:00,Wednesday
North Level 6,145.0,,,,,,14:00,Wednesday
North Level 5,178.0,,,,,,14:00,Wednesday
North Level 4,154.0,,,,,,14:00,Wednesday
North Level 3,72.0,,,,,,14:00,Wednesday
North Level 2,12.0,,,,,,14:00,Wednesday
North Level 1,11.0,,,1.0,15.0,,14:00,Wednesday
Union Level 6,,12.0,11.0,1.0,1.0,,14:00,Wednesday
Union Level 5,,99.0,99.0,2.0,2.0,,14:00,Wednesday
Union Level 4,19.0,6.0,5.0,,1.0,,14:00,Wednesday
Union Level 3,90.0,,,,4.0,,14:00,Wednesday
Union Level 2,30.0,,,,4.0,,14:00,Wednesday
Union Level 1,4.0,,,0.0,5.0,,14:00,Wednesday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,14:00,Wednesday
CRI Deck 1 Level 6,67.0,67.0,67.0,,2.0,,14:00,Wednesday
CRI Deck 1 Level 5,61.0,61.0,60.0,,4.0,,14:00,Wednesday
CRI Deck 1 Level 4,36.0,36.0,36.0,,8.0,,14:00,Wednesday
CRI Deck 1 Level 3,34.0,35.0,34.0,1.0,4.0,,14:00,Wednesday
CRI Deck 1 Level 2,14.0,14.0,14.0,1.0,4.0,,14:00,Wednesday
CRI Deck 1 Level 1,31.0,32.0,31.0,,2.0,,14:00,Wednesday
West Level 2,1.0,,,,,,14:00,Wednesday
West Level 3,16.0,,,1.0,,,14:00,Wednesday
West Level 4,33.0,,,,,,14:00,Wednesday
West Level 5,49.0,,,,,,14:00,Wednesday
South Village Level 1,1.0,1.0,16.0,5.0,4.0,,14:00,Wednesday
South Village Level 2,2.0,1.0,,0.0,1.0,,14:00,Wednesday
South Village Level 3,2.0,1.0,,6.0,2.0,,14:00,Wednesday
South Village Level 4,3.0,2.0,,,1.0,,14:00,Wednesday
South Village Level 5,12.0,11.0,,,2.0,,14:00,Wednesday
South Village Level 6,48.0,47.0,,,1.0,,14:00,Wednesday
East 3 Level 1,1.0,,,9.0,4.0,,14:00,Wednesday
East 3 Level 2,7.0,,,,,,14:00,Wednesday
East 3 Level 3,14.0,,,,,,14:00,Wednesday
East 3 Level 4,46.0,,,,,,14:00,Wednesday
East 3 Level 5,102.0,,,,,,14:00,Wednesday
East 2 Level 4,9.0,,,,,,14:00,Wednesday
East 2 Level 3,6.0,,,,,,14:00,Wednesday
East 2 Level 2,2.0,,,,,,14:00,Wednesday
East 2 Level 1,2.0,,,,8.0,,14:00,Wednesday
East 1 Level 1,,20.0,,7.0,1.0,,14:00,Wednesday
East 1 Level 2,,31.0,14.0,,,,14:00,Wednesday
East 1 Level 3,,109.0,46.0,,,,14:00,Wednesday
East 1 Level 4,,78.0,33.0,,,,14:00,Wednesday
North Level 6,145.0,,,,,,16:00,Wednesday
North Level 5,187.0,,,,,,16:00,Wednesday
North Level 4,166.0,,,,,,16:00,Wednesday
North Level 3,69.0,,,,,,16:00,Wednesday
North Level 2,48.0,,,,,,16:00,Wednesday
North Level 1,35.0,,,2.0,16.0,,16:00,Wednesday
Union Level 6,,21.0,20.0,1.0,2.0,,16:00,Wednesday
Union Level 5,,107.0,106.0,1.0,3.0,,16:00,Wednesday
Union Level 4,51.0,7.0,7.0,,0.0,,16:00,Wednesday
Union Level 3,102.0,,,,3.0,,16:00,Wednesday
Union Level 2,66.0,,,,5.0,,16:00,Wednesday
Union Level 1,22.0,,,0.0,6.0,,16:00,Wednesday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,16:00,Wednesday
CRI Deck 1 Level 6,67.0,68.0,67.0,,2.0,,16:00,Wednesday
CRI Deck 1 Level 5,62.0,63.0,62.0,,4.0,,16:00,Wednesday
CRI Deck 1 Level 4,46.0,46.0,46.0,,8.0,,16:00,Wednesday
CRI Deck 1 Level 3,47.0,47.0,47.0,5.0,4.0,,16:00,Wednesday
CRI Deck 1 Level 2,25.0,26.0,25.0,1.0,3.0,,16:00,Wednesday
CRI Deck 1 Level 1,38.0,38.0,38.0,,2.0,,16:00,Wednesday
West Level 2,33.0,,,,,,16:00,Wednesday
West Level 3,37.0,,,2.0,,,16:00,Wednesday
West Level 4,32.0,,,,,,16:00,Wednesday
West Level 5,76.0,,,,,,16:00,Wednesday
South Village Level 1,0.0,0.0,89.0,5.0,4.0,,16:00,Wednesday
South Village Level 2,3.0,2.0,,0.0,4.0,,16:00,Wednesday
South Village Level 3,3.0,2.0,,5.0,1.0,,16:00,Wednesday
South Village Level 4,15.0,14.0,,,2.0,,16:00,Wednesday
South Village Level 5,28.0,27.0,,,2.0,,16:00,Wednesday
South Village Level 6,50.0,49.0,,,1.0,,16:00,Wednesday
East 3 Level 1,37.0,,,9.0,4.0,,16:00,Wednesday
East 3 Level 2,68.0,,,,,,16:00,Wednesday
East 3 Level 3,101.0,,,,,,16:00,Wednesday
East 3 Level 4,144.0,,,,,,16:00,Wednesday
East 3 Level 5,113.0,,,,,,16:00,Wednesday
East 2 Level 4,52.0,,,,,,16:00,Wednesday
East 2 Level 3,35.0,,,,,,16:00,Wednesday
East 2 Level 2,16.0,,,,,,16:00,Wednesday
East 2 Level 1,1.0,,,,8.0,,16:00,Wednesday
East 1 Level 1,,50.0,,9.0,3.0,,16:00,Wednesday
East 1 Level 2,,71.0,31.0,,,,16:00,Wednesday
East 1 Level 3,,108.0,46.0,,,,16:00,Wednesday
East 1 Level 4,,78.0,33.0,,,,16:00,Wednesday
North Level 6,145.0,,,,,,18:00,Wednesday
North Level 5,193.0,,,,,,18:00,Wednesday
North Level 4,179.0,,,,,,18:00,Wednesday
North Level 3,112.0,,,,,,18:00,Wednesday
North Level 2,77.0,,,,,,18:00,Wednesday
North Level 1,50.0,,,1.0,18.0,,18:00,Wednesday
Union Level 6,,40.0,39.0,1.0,1.0,,18:00,Wednesday
Union Level 5,,23.0,23.0,2.0,2.0,,18:00,Wednesday
Union Level 4,47.0,8.0,8.0,,1.0,,18:00,Wednesday
Union Level 3,128.0,,,,5.0,,18:00,Wednesday
Union Level 2,140.0,,,,5.0,,18:00,Wednesday
Union Level 1,36.0,,,0.0,6.0,,18:00,Wednesday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,18:00,Wednesday
CRI Deck 1 Level 6,67.0,68.0,67.0,,2.0,,18:00,Wednesday
CRI Deck 1 Level 5,63.0,63.0,63.0,,4.0,,18:00,Wednesday
CRI Deck 1 Level 4,52.0,52.0,51.0,,8.0,,18:00,Wednesday
CRI Deck 1 Level 3,59.0,59.0,58.0,4.0,4.0,,18:00,Wednesday
CRI Deck 1 Level 2,51.0,51.0,50.0,2.0,4.0,,18:00,Wednesday
CRI Deck 1 Level 1,7.0,7.0,6.0,,2.0,,18:00,Wednesday
West Level 2,96.0,,,,,,18:00,Wednesday
West Level 3,128.0,,,3.0,,,18:00,Wednesday
West Level 4,84.0,,,,,,18:00,Wednesday
West Level 5,114.0,,,,,,18:00,Wednesday
South Village Level 1,0.0,0.0,88.0,0.0,4.0,,18:00,Wednesday
South Village Level 2,6.0,5.0,,3.0,1.0,,18:00,Wednesday
South Village Level 3,4.0,4.0,,10.0,3.0,,18:00,Wednesday
South Village Level 4,16.0,15.0,,,3.0,,18:00,Wednesday
South Village Level 5,41.0,41.0,,,3.0,,18:00,Wednesday
South Village Level 6,63.0,62.0,,,1.0,,18:00,Wednesday
East 3 Level 1,54.0,,,8.0,4.0,,18:00,Wednesday
East 3 Level 2,78.0,,,,,,18:00,Wednesday
East 3 Level 3,137.0,,,,,,18:00,Wednesday
East 3 Level 4,141.0,,,,,,18:00,Wednesday
East 3 Level 5,113.0,,,,,,18:00,Wednesday
East 2 Level 4,71.0,,,,,,18:00,Wednesday
East 2 Level 3,85.0,,,,,,18:00,Wednesday
East 2 Level 2,22.0,,,,,,18:00,Wednesday
East 2 Level 1,2.0,,,,21.0,,18:00,Wednesday
East 1 Level 1,,87.0,,11.0,5.0,,18:00,Wednesday
East 1 Level 2,,97.0,42.0,,,,18:00,Wednesday
East 1 Level 3,,113.0,49.0,,,,18:00,Wednesday
East 1 Level 4,,78.0,33.0,,,,18:00,Wednesday
North Level 6,145.0,,,,,,10:00,Thursday
North Level 5,174.0,,,,,,10:00,Thursday
North Level 4,163.0,,,,,,10:00,Thursday
North Level 3,73.0,,,,,,10:00,Thursday
North Level 2,1.0,,,,,,10:00,Thursday
North Level 1,3.0,,,0.0,15.0,,10:00,Thursday
Union Level 6,,22.0,21.0,1.0,0.0,,10:00,Thursday
Union Level 5,,89.0,88.0,1.0,3.0,,10:00,Thursday
Union Level 4,1.0,0.0,0.0,,2.0,,10:00,Thursday
Union Level 3,8.0,,,,2.0,,10:00,Thursday
Union Level 2,0.0,,,,4.0,,10:00,Thursday
Union Level 1,0.0,,,0.0,4.0,,10:00,Thursday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,10:00,Thursday
CRI Deck 1 Level 6,62.0,62.0,61.0,,2.0,,10:00,Thursday
CRI Deck 1 Level 5,26.0,27.0,26.0,,4.0,,10:00,Thursday
CRI Deck 1 Level 4,59.0,60.0,59.0,,0.0,,10:00,Thursday
CRI Deck 1 Level 3,39.0,40.0,39.0,1.0,3.0,,10:00,Thursday
CRI Deck 1 Level 2,15.0,16.0,15.0,0.0,2.0,,10:00,Thursday
CRI Deck 1 Level 1,38.0,38.0,38.0,,2.0,,10:00,Thursday
West Level 2,0.0,,,,,,10:00,Thursday
West Level 3,0.0,,,1.0,,,10:00,Thursday
West Level 4,0.0,,,,,,10:00,Thursday
West Level 5,0.0,,,,,,10:00,Thursday
South Village Level 1,0.0,0.0,11.0,10.0,2.0,,10:00,Thursday
South Village Level 2,0.0,0.0,,1.0,0.0,,10:00,Thursday
South Village Level 3,0.0,0.0,,4.0,0.0,,10:00,Thursday
South Village Level 4,0.0,0.0,,,0.0,,10:00,Thursday
South Village Level 5,4.0,3.0,,,2.0,,10:00,Thursday
South Village Level 6,37.0,37.0,,,1.0,,10:00,Thursday
East 3 Level 1,0.0,,,0.0,3.0,,10:00,Thursday
East 3 Level 2,0.0,,,,,,10:00,Thursday
East 3 Level 3,0.0,,,,,,10:00,Thursday
East 3 Level 4,119.0,,,,,,10:00,Thursday
East 3 Level 5,112.0,,,,,,10:00,Thursday
East 2 Level 4,10.0,,,,,,10:00,Thursday
East 2 Level 3,0.0,,,,,,10:00,Thursday
East 2 Level 2,0.0,,,,,,10:00,Thursday
East 2 Level 1,0.0,,,,3.0,,10:00,Thursday
East 1 Level 1,,0.0,,6.0,3.0,,10:00,Thursday
East 1 Level 2,,51.0,22.0,,,,10:00,Thursday
East 1 Level 3,,105.0,45.0,,,,10:00,Thursday
East 1 Level 4,,78.0,33.0,,,,10:00,Thursday
North Level 6,144.0,,,,,,12:00,Thursday
North Level 5,171.0,,,,,,12:00,Thursday
North Level 4,146.0,,,,,,12:00,Thursday
North Level 3,45.0,,,,,,12:00,Thursday
North Level 2,8.0,,,,,,12:00,Thursday
North Level 1,4.0,,,1.0,13.0,,12:00,Thursday
Union Level 6,,13.0,12.0,0.0,0.0,,12:00,Thursday
Union Level 5,,69.0,68.0,0.0,1.0,,12:00,Thursday
Union Level 4,0.0,3.0,2.0,,2.0,,12:00,Thursday
Union Level 3,7.0,,,,2.0,,12:00,Thursday
Union Level 2,1.0,,,,2.0,,12:00,Thursday
Union Level 1,3.0,,,0.0,5.0,,12:00,Thursday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,12:00,Thursday
CRI Deck 1 Level 6,67.0,67.0,67.0,,2.0,,12:00,Thursday
CRI Deck 1 Level 5,61.0,61.0,60.0,,4.0,,12:00,Thursday
CRI Deck 1 Level 4,33.0,33.0,32.0,,8.0,,12:00,Thursday
CRI Deck 1 Level 3,54.0,54.0,53.0,1.0,4.0,,12:00,Thursday
CRI Deck 1 Level 2,14.0,15.0,14.0,2.0,4.0,,12:00,Thursday
CRI Deck 1 Level 1,38.0,38.0,37.0,,2.0,,12:00,Thursday
West Level 2,0.0,,,,,,12:00,Thursday
West Level 3,0.0,,,1.0,,,12:00,Thursday
West Level 4,0.0,,,,,,12:00,Thursday
West Level 5,0.0,,,,,,12:00,Thursday
South Village Level 1,0.0,0.0,89.0,8.0,4.0,,12:00,Thursday
South Village Level 2,1.0,0.0,,0.0,0.0,,12:00,Thursday
South Village Level 3,1.0,1.0,,4.0,0.0,,12:00,Thursday
South Village Level 4,1.0,0.0,,,0.0,,12:00,Thursday
South Village Level 5,8.0,7.0,,,3.0,,12:00,Thursday
South Village Level 6,33.0,32.0,,,0.0,,12:00,Thursday
East 3 Level 1,0.0,,,0.0,3.0,,12:00,Thursday
East 3 Level 2,0.0,,,,,,12:00,Thursday
East 3 Level 3,20.0,,,,,,12:00,Thursday
East 3 Level 4,40.0,,,,,,12:00,Thursday
East 3 Level 5,77.0,,,,,,12:00,Thursday
East 2 Level 4,6.0,,,,,,12:00,Thursday
East 2 Level 3,0.0,,,,,,12:00,Thursday
East 2 Level 2,0.0,,,,,,12:00,Thursday
East 2 Level 1,0.0,,,,0.0,,12:00,Thursday
East 1 Level 1,,5.0,,9.0,3.0,,12:00,Thursday
East 1 Level 2,,44.0,19.0,,,,12:00,Thursday
East 1 Level 3,,103.0,44.0,,,,12:00,Thursday
East 1 Level 4,,78.0,33.0,,,,12:00,Thursday
North Level 6,145.0,,,,,,14:00,Thursday
North Level 5,172.0,,,,,,14:00,Thursday
North Level 4,115.0,,,,,,14:00,Thursday
North Level 3,22.0,,,,,,14:00,Thursday
North Level 2,2.0,,,,,,14:00,Thursday
North Level 1,4.0,,,0.0,15.0,,14:00,Thursday
Union Level 6,,8.0,8.0,1.0,1.0,,14:00,Thursday
Union Level 5,,81.0,81.0,0.0,0.0,,14:00,Thursday
Union Level 4,13.0,1.0,1.0,,3.0,,14:00,Thursday
Union Level 3,23.0,,,,0.0,,14:00,Thursday
Union Level 2,0.0,,,,2.0,,14:00,Thursday
Union Level 1,0.0,,,0.0,5.0,,14:00,Thursday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,14:00,Thursday
CRI Deck 1 Level 6,68.0,68.0,67.0,,2.0,,14:00,Thursday
CRI Deck 1 Level 5,60.0,60.0,59.0,,4.0,,14:00,Thursday
CRI Deck 1 Level 4,28.0,29.0,28.0,,8.0,,14:00,Thursday
CRI Deck 1 Level 3,41.0,42.0,41.0,2.0,4.0,,14:00,Thursday
CRI Deck 1 Level 2,7.0,7.0,7.0,2.0,4.0,,14:00,Thursday
CRI Deck 1 Level 1,38.0,39.0,38.0,,2.0,,14:00,Thursday
West Level 2,1.0,,,,,,14:00,Thursday
West Level 3,4.0,,,0.0,,,14:00,Thursday
West Level 4,6.0,,,,,,14:00,Thursday
West Level 5,7.0,,,,,,14:00,Thursday
South Village Level 1,2.0,2.0,90.0,8.0,3.0,,14:00,Thursday
South Village Level 2,0.0,0.0,,0.0,0.0,,14:00,Thursday
South Village Level 3,1.0,1.0,,4.0,2.0,,14:00,Thursday
South Village Level 4,6.0,6.0,,,1.0,,14:00,Thursday
South Village Level 5,19.0,19.0,,,3.0,,14:00,Thursday
South Village Level 6,40.0,40.0,,,1.0,,14:00,Thursday
East 3 Level 1,3.0,,,7.0,3.0,,14:00,Thursday
East 3 Level 2,5.0,,,,,,14:00,Thursday
East 3 Level 3,21.0,,,,,,14:00,Thursday
East 3 Level 4,30.0,,,,,,14:00,Thursday
East 3 Level 5,55.0,,,,,,14:00,Thursday
East 2 Level 4,19.0,,,,,,14:00,Thursday
East 2 Level 3,11.0,,,,,,14:00,Thursday
East 2 Level 2,4.0,,,,,,14:00,Thursday
East 2 Level 1,1.0,,,,19.0,,14:00,Thursday
East 1 Level 1,,8.0,,7.0,1.0,,14:00,Thursday
East 1 Level 2,,47.0,20.0,,,,14:00,Thursday
East 1 Level 3,,12.0,5.0,,,,14:00,Thursday
East 1 Level 4,,78.0,33.0,,,,14:00,Thursday
North Level 6,143.0,,,,,,16:00,Thursday
North Level 5,180.0,,,,,,16:00,Thursday
North Level 4,166.0,,,,,,16:00,Thursday
North Level 3,102.0,,,,,,16:00,Thursday
North Level 2,52.0,,,,,,16:00,Thursday
North Level 1,39.0,,,2,15.0,,16:00,Thursday
Union Level 6,,19.0,19.0,1,1.0,,16:00,Thursday
Union Level 5,,100.0,99.0,1,2.0,,16:00,Thursday
Union Level 4,59.0,5.0,5.0,,2.0,,16:00,Thursday
Union Level 3,153.0,,,,2.0,,16:00,Thursday
Union Level 2,88.0,,,,3.0,,16:00,Thursday
Union Level 1,50.0,,,0,9.0,,16:00,Thursday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,16:00,Thursday
CRI Deck 1 Level 6,67.0,67.0,67.0,,2.0,,16:00,Thursday
CRI Deck 1 Level 5,63.0,63.0,62.0,,4.0,,16:00,Thursday
CRI Deck 1 Level 4,41.0,41.0,41.0,,8.0,,16:00,Thursday
CRI Deck 1 Level 3,46.0,46.0,46.0,5,4.0,,16:00,Thursday
CRI Deck 1 Level 2,29.0,30.0,29.0,2,4.0,,16:00,Thursday
CRI Deck 1 Level 1,37.0,38.0,37.0,,2.0,,16:00,Thursday
West Level 2,23.0,,,,,,16:00,Thursday
West Level 3,38.0,,,1,,,16:00,Thursday
West Level 4,38.0,,,,,,16:00,Thursday
West Level 5,59.0,,,,,,16:00,Thursday
South Village Level 1,3.0,2.0,94.0,5,4.0,,16:00,Thursday
South Village Level 2,5.0,5.0,,0,1.0,,16:00,Thursday
South Village Level 3,6.0,5.0,,7,2.0,,16:00,Thursday
South Village Level 4,15.0,15.0,,,2.0,,16:00,Thursday
South Village Level 5,33.0,33.0,,,2.0,,16:00,Thursday
South Village Level 6,48.0,47.0,,,0.0,,16:00,Thursday
East 3 Level 1,43.0,,,8,4.0,,16:00,Thursday
East 3 Level 2,72.0,,,,,,16:00,Thursday
East 3 Level 3,114.0,,,,,,16:00,Thursday
East 3 Level 4,122.0,,,,,,16:00,Thursday
East 3 Level 5,106.0,,,,,,16:00,Thursday
East 2 Level 4,53.0,,,,,,16:00,Thursday
East 2 Level 3,58.0,,,,,,16:00,Thursday
East 2 Level 2,10.0,,,,,,16:00,Thursday
East 2 Level 1,0.0,,,,17.0,,16:00,Thursday
East 1 Level 1,,78.0,,10,5.0,,16:00,Thursday
East 1 Level 2,,87.0,37.0,,,,16:00,Thursday
East 1 Level 3,,109.0,47.0,,,,16:00,Thursday
East 1 Level 4,,77.0,33.0,,,,16:00,Thursday
North Level 6,143.0,,,,,,18:00,Thursday
North Level 5,189.0,,,,,,18:00,Thursday
North Level 4,177.0,,,,,,18:00,Thursday
North Level 3,117.0,,,,,,18:00,Thursday
North Level 2,74.0,,,,,,18:00,Thursday
North Level 1,55.0,,,1.0,18.0,,18:00,Thursday
Union Level 6,,37.0,36.0,1.0,1.0,,18:00,Thursday
Union Level 5,,118.0,118.0,2.0,4.0,,18:00,Thursday
Union Level 4,66.0,4.0,3.0,,2.0,,18:00,Thursday
Union Level 3,177.0,,,,3.0,,18:00,Thursday
Union Level 2,164.0,,,,5.0,,18:00,Thursday
Union Level 1,80.0,,,0.0,8.0,,18:00,Thursday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,18:00,Thursday
CRI Deck 1 Level 6,68.0,68.0,67.0,,2.0,,18:00,Thursday
CRI Deck 1 Level 5,66.0,66.0,66.0,,4.0,,18:00,Thursday
CRI Deck 1 Level 4,53.0,53.0,52.0,,8.0,,18:00,Thursday
CRI Deck 1 Level 3,62.0,63.0,62.0,5.0,4.0,,18:00,Thursday
CRI Deck 1 Level 2,45.0,46.0,45.0,2.0,4.0,,18:00,Thursday
CRI Deck 1 Level 1,35.0,36.0,35.0,,2.0,,18:00,Thursday
West Level 2,88.0,,,,,,18:00,Thursday
West Level 3,116.0,,,3.0,,,18:00,Thursday
West Level 4,79.0,,,,,,18:00,Thursday
West Level 5,101.0,,,,,,18:00,Thursday
South Village Level 1,2.0,1.0,88.0,0.0,5.0,,18:00,Thursday
South Village Level 2,6.0,5.0,,3.0,2.0,,18:00,Thursday
South Village Level 3,11.0,10.0,,7.0,2.0,,18:00,Thursday
South Village Level 4,22.0,22.0,,,3.0,,18:00,Thursday
South Village Level 5,43.0,43.0,,,2.0,,18:00,Thursday
South Village Level 6,66.0,65.0,,,1.0,,18:00,Thursday
East 3 Level 1,93.0,,,12.0,4.0,,18:00,Thursday
East 3 Level 2,130.0,,,,,,18:00,Thursday
East 3 Level 3,136.0,,,,,,18:00,Thursday
East 3 Level 4,156.0,,,,,,18:00,Thursday
East 3 Level 5,104.0,,,,,,18:00,Thursday
East 2 Level 4,80.0,,,,,,18:00,Thursday
East 2 Level 3,104.0,,,,,,18:00,Thursday
East 2 Level 2,42.0,,,,,,18:00,Thursday
East 2 Level 1,0.0,,,,21.0,,18:00,Thursday
East 1 Level 1,,85.0,,10.0,5.0,,18:00,Thursday
East 1 Level 2,,106.0,45.0,,,,18:00,Thursday
East 1 Level 3,,113.0,49.0,,,,18:00,Thursday
East 1 Level 4,,78.0,33.0,,,,18:00,Thursday
North Level 6,145.0,,,,,,10:00,Friday
North Level 5,186.0,,,,,,10:00,Friday
North Level 4,172.0,,,,,,10:00,Friday
North Level 3,81.0,,,,,,10:00,Friday
North Level 2,40.0,,,,,,10:00,Friday
North Level 1,40.0,,,0.0,15.0,,10:00,Friday
Union Level 6,,23,23.0,1.0,1.0,,10:00,Friday
Union Level 5,,68,68.0,0.0,3.0,,10:00,Friday
Union Level 4,83.0,0,0.0,,1.0,,10:00,Friday
Union Level 3,143.0,,,,5.0,,10:00,Friday
Union Level 2,129.0,,,,5.0,,10:00,Friday
Union Level 1,18.0,,,0.0,5.0,,10:00,Friday
CRI Deck 1 Level 7,0.0,0,0.0,,,,10:00,Friday
CRI Deck 1 Level 6,68.0,68,68.0,,2.0,,10:00,Friday
CRI Deck 1 Level 5,62.0,62,61.0,,4.0,,10:00,Friday
CRI Deck 1 Level 4,40.0,40,39.0,,8.0,,10:00,Friday
CRI Deck 1 Level 3,65.0,65,64.0,0.0,4.0,,10:00,Friday
CRI Deck 1 Level 2,13.0,13,13.0,0.0,4.0,,10:00,Friday
CRI Deck 1 Level 1,37.0,37,36.0,,2.0,,10:00,Friday
West Level 2,15.0,,,,,,10:00,Friday
West Level 3,63.0,,,1.0,,,10:00,Friday
West Level 4,58.0,,,,,,10:00,Friday
West Level 5,122.0,,,,,,10:00,Friday
South Village Level 1,2.0,2,83.0,6.0,4.0,,10:00,Friday
South Village Level 2,3.0,2,,1.0,0.0,,10:00,Friday
South Village Level 3,2.0,1,,7.0,2.0,,10:00,Friday
South Village Level 4,3.0,3,,,0.0,,10:00,Friday
South Village Level 5,33.0,33,,,3.0,,10:00,Friday
South Village Level 6,63.0,62,,,1.0,,10:00,Friday
East 3 Level 1,2.0,,,0.0,4.0,,10:00,Friday
East 3 Level 2,69.0,,,,,,10:00,Friday
East 3 Level 3,160.0,,,,,,10:00,Friday
East 3 Level 4,172.0,,,,,,10:00,Friday
East 3 Level 5,113.0,,,,,,10:00,Friday
East 2 Level 4,82.0,,,,,,10:00,Friday
East 2 Level 3,12.0,,,,,,10:00,Friday
East 2 Level 2,0.0,,,,,,10:00,Friday
East 2 Level 1,0.0,,,,14.0,,10:00,Friday
East 1 Level 1,,24,,6.0,4.0,,10:00,Friday
East 1 Level 2,,91,39.0,,,,10:00,Friday
East 1 Level 3,,115,49.0,,,,10:00,Friday
East 1 Level 4,,78,33.0,,,,10:00,Friday
North Level 6,144.0,,,,,,12:00,Friday
North Level 5,183.0,,,,,,12:00,Friday
North Level 4,172.0,,,,,,12:00,Friday
North Level 3,121.0,,,,,,12:00,Friday
North Level 2,38.0,,,,,,12:00,Friday
North Level 1,26.0,,,0.0,14.0,,12:00,Friday
