Location,Student,Fac/Staff,Visitor/Meter,Reserved,Disabled,Reduced,Time,Day
West Level 2,3.0,,,,,,14:00,Monday
West Level 3,4.0,,,2.0,,,14:00,Monday
West Level 4,17.0,,,,,,14:00,Monday
West Level 5,68.0,,,,,,14:00,Monday
South Village Level 1,1.0,0.0,81.0,5.0,4.0,,14:00,Monday
South Village Level 2,2.0,2.0,,1.0,1.0,,14:00,Monday
South Village Level 3,2.0,1.0,,3.0,2.0,,14:00,Monday
South Village Level 4,4.0,4.0,,,2.0,,14:00,Monday
South Village Level 5,20.0,20.0,,,3.0,,14:00,Monday
South Village Level 6,56.0,56.0,,,1.0,,14:00,Monday
East 3 Level 1,3.0,,,1.0,4.0,,14:00,Monday
East 3 Level 2,1.0,,,,,,14:00,Monday
East 3 Level 3,15.0,,,,,,14:00,Monday
East 3 Level 4,74.0,,,,,,14:00,Monday
East 3 Level 5,109.0,,,,,,14:00,Monday
East 2 Level 4,3.0,,,,,,14:00,Monday
East 2 Level 3,1.0,,,,,,14:00,Monday
East 2 Level 2,2.0,,,,,,14:00,Monday
East 2 Level 1,1.0,,,,9.0,,14:00,Monday
East 1 Level 1,,11.0,,3.0,3.0,,14:00,Monday
East 1 Level 2,,42.0,18.0,,,,14:00,Monday
East 1 Level 3,,109.0,47.0,,,,14:00,Monday
East 1 Level 4,,78.0,33.0,,,,14:00,Monday
North Level 6,144.0,,,,,,16:00,Monday
North Level 5,184.0,,,,,,16:00,Monday
North Level 4,172.0,,,,,,16:00,Monday
North Level 3,127.0,,,,,,16:00,Monday
North Level 2,38.0,,,,,,16:00,Monday
North Level 1,51.0,,,1.0,17.0,,16:00,Monday
Union Level 6,,21.0,21.0,1.0,1.0,,16:00,Monday
Union Level 5,,94.0,93.0,1.0,3.0,,16:00,Monday
Union Level 4,14.0,6.0,6.0,,2.0,,16:00,Monday
Union Level 3,44.0,,,,4.0,,16:00,Monday
Union Level 2,76.0,,,,5.0,,16:00,Monday
Union Level 1,25.0,,,0.0,4.0,,16:00,Monday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,16:00,Monday
CRI Deck 1 Level 6,67.0,67.0,67.0,,2.0,,16:00,Monday
CRI Deck 1 Level 5,63.0,64.0,63.0,,4.0,,16:00,Monday
CRI Deck 1 Level 4,47.0,48.0,47.0,,8.0,,16:00,Monday
CRI Deck 1 Level 3,52.0,52.0,51.0,3.0,4.0,,16:00,Monday
CRI Deck 1 Level 2,71.0,71.0,70.0,2.0,4.0,,16:00,Monday
CRI Deck 1 Level 1,36.0,36.0,35.0,,2.0,,16:00,Monday
West Level 2,40.0,,,,,,16:00,Monday
West Level 3,40.0,,,1.0,,,16:00,Monday
West Level 4,29.0,,,,,,16:00,Monday
West Level 5,85.0,,,,,,16:00,Monday
South Village Level 1,3.0,2.0,85.0,5.0,5.0,,16:00,Monday
South Village Level 2,3.0,3.0,,2.0,2.0,,16:00,Monday
South Village Level 3,1.0,1.0,,4.0,2.0,,16:00,Monday
South Village Level 4,10.0,9.0,,,4.0,,16:00,Monday
South Village Level 5,39.0,38.0,,,2.0,,16:00,Monday
South Village Level 6,64.0,63.0,,,1.0,,16:00,Monday
East 3 Level 1,0.0,,,9.0,4.0,,16:00,Monday
East 3 Level 2,11.0,,,,,,16:00,Monday
East 3 Level 3,25.0,,,,,,16:00,Monday
East 3 Level 4,136.0,,,,,,16:00,Monday
East 3 Level 5,109.0,,,,,,16:00,Monday
East 2 Level 4,1.0,,,,,,16:00,Monday
East 2 Level 3,3.0,,,,,,16:00,Monday
East 2 Level 2,1.0,,,,,,16:00,Monday
East 2 Level 1,2.0,,,,6.0,,16:00,Monday
East 1 Level 1,,21.0,,8.0,4.0,,16:00,Monday
